NamaSPPG,Alamat,Tanggal Opsnal,Provinsi,wilayah,Nama Kepala,Nama Yayasan,Latitude,Longitude
SPPG Way Kanan Pakuan Ratu Negara Harja,Rt.02 Rw.01 kampung negara harja kec.pakuan ratu kab.way kanan,04-08-2025,LAMPUNG,Wilayah I,Yona Irawan,Yayasan Khanza Jaya Indonesia,-4.42432,104.7813
SPPG Lampung Tengah Bangun Rejo Sido Rejo,"Desa Sidorejo kecamatan Bangun Rejo Dusun 1 RT 02 RW 01, Lampung Tengah",04-08-2025,LAMPUNG,Wilayah I,Muhammad Kasim,Yayasan Sahabat Dalam Kasih,-5.22936,104.96074
SPPG Lampung Tengah Bumi Ratu Nuban Wates,Jl. Pandawa RT 1 RW 3. Desa Wates. Kecamatan Bumi Ratu Nuban. Kabupaten Lampung Tengah. Provinsi Lampung. WATES. BUMI RATU NUBAN. KAB. LAMPUNG TENGAH. LAMPUNG,04-08-2025,LAMPUNG,Wilayah I,Felik Krisdianto,Yayasan Bangun Bangsa Bersama,-5.10197,105.19337
SPPG Lampung Timur Labuhan Ratu Labuhan Ratu VII,"Jl. Lintas pantai timur,labuhan ratu 7, kecamatan labuhan ratu, kabupaten Lampung Timur",04-08-2025,LAMPUNG,Wilayah I,Agung Tirta utama ,,-5.17263,105.70294
SPPG Pringsewu Pringsewu Pringsewu Timur 2,"jln kesehatan, no 1085, kelurahan pringsewu timur, kec. pringsewu kab, pringsewu prov, Lampung",04-08-2025,LAMPUNG,Wilayah I,Mad Khotib,Yayasan Garuda Dwipantara Raya,-5.35619,104.97521
SPPG Kota Bandar Lampung Sukarame Sukarame 4,Jalur II Perumahan Griya Sukarame Bandar Lampung,04-08-2025,LAMPUNG,Wilayah I,Hersanti,Yayasan Garuda Dwipantara Raya,-5.38918,105.30723
SPPG Lampung Timur Way Jepara Braja Sakti 2,"Desa Braja Sakti RT. 018 RW. 006, Kecamatan Way Jepara, Kabupaten Lampung Timur, Provinsi Lampung",04-08-2025,LAMPUNG,Wilayah I,ABDUL ROHIM,Yayasan Mathlaul Qur`an An-nur,-5.16407,105.70587
SPPG Tanggamus Gisting Campang 2,"Jalan Raya Gunung Batu No 02 Kelurahan Campang, Kecamatan Gisting, Kabupaten Tanggamus",04-08-2025,LAMPUNG,Wilayah I,Titian Pelangi,Yayasan Asan Ahsan Perkasa,-5.41024,104.72765
SPPG Kota Metro Metro Pusat Metro,"Jl. Brigjen Sutiyoso No. 20 RT 005 RW 013, Kelurahan Metro, Kecamatan Metro Pusat, Kota Metro, Lampung",04-08-2025,LAMPUNG,Wilayah I,Harits Kurniawan,Yayasan Pelita Hati Anak Negeri,-5.11622,105.30644
SPPG Mesuji Way Serdang Kejadian,"Jalan Gajah Mada, Desa Kejadian Kec. Way Serdang Kab. Mesuji",04-08-2025,LAMPUNG,Wilayah I,ANGGA SOHIBUL HUDA,Yayayan Surya Sejahtera Bersama,-4.17482,105.1611
SPPG Lampung Tengah Punggur Nunggal Rejo,"Jalan Pattimura Rt 11 dsn 3, desa Nunggal rejo kecamatan Punggur kabupaten Lampung tengah",04-08-2025,LAMPUNG,Wilayah I,Dimas Dwi Aryanto,Yayasan Nurul Al Fatih Fauziyah,-5.07089,105.28223
SPPG Pesawaran Tegineneng Trimulyo,Jl. Sutan sakti dusun Wonorejo RT 10 RW 05 Desa Trimulyo Kec.Tegineneng Kab.Pesawaran Provinsi Lampung,04-08-2025,LAMPUNG,Wilayah I,Aulia Ramadhan,Yayasan Garanta Untuk Indonesia,-5.17776,105.11822
SPPG Lampung Tengah Terbanggi Besar Poncowati,"Jl. MT Haryono, no.02 RT/07, Anoman 2, Poncowati, Terbanggi Besar, Lampung Tengah",04-08-2025,LAMPUNG,Wilayah I,Alpriealian Renando,Yayasan Nusantara Sejahtera Mandiri,-4.88454,105.22028
SPPG Kota Bandar Lampung Tanjung Senang Way Kandis 2,"Jl.M Yunus Ujung RT 006 Kel Way Kandis, Kec. Tanjung Senang, Kab. Bandar lampung, Prov. Lampung",04-09-2025,LAMPUNG,Wilayah I,Irwansyah,,-5.36002,105.27929
SPPG Lampung Barat Sekincau Sekincau,"Jl. Lintas Liwa, Desa Betung Sukosari, Kecamatan Sekincau, Kabupaten Lampung Barat, Lampung",04-09-2025,LAMPUNG,Wilayah I,Muhammad Samsi Mustofa,,-5.03792,104.30276
SPPG Way Kanan Negeri Agung Bandar Dalam,"Bandar Dalam 001/001, Bandar Dalam, Negeri Agung, Kabupaten Way Kanan, Lampung",04-09-2025,LAMPUNG,Wilayah I,Ukad Wahyudi,,-4.53489,104.64862
SPPG Lampung Timur Jabung Negara Batin,"Dusun 6 Kelurahan Desa Negara Batin Kec. Jabung Kab. Lampung Timur, Lampung",04-10-2025,LAMPUNG,Wilayah I,Ervan Kurniawan,,-5.45864,105.67216
SPPG Kota Bandar Lampung Way Halim Jagabaya III 1,"Jl Pulau Morotai kel. Jagabaya III, No 27 Kec Way Halim Bandar Lampung",05-05-2025,LAMPUNG,Wilayah I,Septa Aris Munandar,Yayasan Alrafaeyza Malik Nurman,-5.39459,105.27781
SPPG Lampung Utara Abung Selatan Bumi Raya,"Jalan Lintas Sumatera, desa Bumi Raya, Kecamatan Abung Selatan, Kabupaten Lampung Utara, Lampung",05-05-2025,LAMPUNG,Wilayah I,Muhammad Nur Fauzi,Yayasan Prabu Center Kosong Delapan,-4.85978,104.93602
SPPG Pringsewu Pardasuka Padasuka,"Jl. Raya Rasuna Said Pasar Pardasuka, Desa Pardasuka, Kec. Pardasuka, Kab. Pringsewu",05-05-2025,LAMPUNG,Wilayah I,Adi Putra Darmawan,Yayasan Tunas Mekar Cianjur,-5.47992,104.92846
SPPG Lampung Selatan Way Panji Sidoharjo,"Desa Sidoarjo, Dusun Surabaya, RT 4 RW 1, Kec. Way Panji, Kab. Lampung Selatan. Kode pos 35354",05-05-2025,LAMPUNG,Wilayah I,Zulhikmi Abi Fandra,,-5.61867,105.59135
SPPG Lampung Timur Way Jepara Sumberejo,"Jl. Ry Lintas Pantai Timur Sumberejo, Kecamatan Way Jepara, Kabupaten Lampung Timur, Provinsi Lampung",05-09-2025,LAMPUNG,Wilayah I,M. Yoga Nugraha Desastra,,-5.1925,105.70255
SPPG Kota Bandar Lampung Sukabumi Sukabumi 2,Jl. P.Tirtayasa Gang Pulau Kalimantan Depan Masjid Baiturrahim Rt 03 Lk.I Sukabumi Bandar Lampung,05-09-2025,LAMPUNG,Wilayah I,Ahmad Safta Adrian,,-5.39459,105.29459
SPPG Lampung Timur Pekalongan Pekalongan 3,Jl. Ah Nasution Dusun 2 Kel. Pekalongan Kecamatan Pekalongan Kabupaten Lampung Timur Provinsi Lampung,05-09-2025,LAMPUNG,Wilayah I,Taufiq Utomo,,-5.08002,105.36308
SPPG Tulang Bawang Menggala Tiuh Tohou,"Jl. Lintas Sumatra Desa Tiuh Tohou Kec,Menggala KabupatenTulang Bawang Lampung",05-09-2025,LAMPUNG,Wilayah I,Muhammad Yusril,,-4.54415,105.22026
SPPG Pesawaran Padang Cermin Durian,"Jl. Pematang Alwi, Durian, Padang Cermin, Kabupaten Pesawaran, Lampung",05-09-2025,LAMPUNG,Wilayah I,Sandi Nugroho,,-5.59465,105.14286
SPPG Kota Bandar Lampung Telukbetung Utara Gulak Galik,"Jl. Cut Mutia No. 50 Rt/Rw 015/000 Kel. Gulak Galik Kec. Teluk Betung Utara, Kota Bandar Lampung, Lampung",06-09-2025,LAMPUNG,Wilayah I,Dimas Rizki Mahendra,,-5.43337,105.25697
SPPG Lampung Timur Labuhan Maringgai Labuhan Maringgai 2,"Jl. Lintas Timur, Labuhan Maringgai, Kabupaten Lampung Timur, Lampung, Bandar NegerI",06-09-2025,LAMPUNG,Wilayah I,Gilang Rizki Ramadhan,,-5.40081,105.80458
SPPG Lampung Utara Bunga Mayang Negara Tulang Bawang,"Jl. Jalur 2 Desa Negara Tulang Bawang Kec. Bunga Mayang Kab. Lampung Utara, Lampung",06-10-2025,LAMPUNG,Wilayah I,Isnu Azharyuda,,-4.59316,104.86765
SPPG Kota Bandar Lampung Tanjungkarang Barat Segalamider 5,"Jl. Sultan Badaruddin Gg. Cempaka No.11 Rt.002/03 Kelurahan Segala Mider, Kecamatan Tanjung Karang Barat, Kota Bandar Lampung, Lampung",06-10-2025,LAMPUNG,Wilayah I,Agung Pratama,,-5.40504,105.25917
SPPG Lampung Utara Tanjung Raja Tulung Balak,"Tulung Balak, Kec. Tanjung Raja, Kab. Lampung Utara, Lampung",06-10-2025,LAMPUNG,Wilayah I,Ahmad Ryan Rahmadi,,-4.91392,104.65542
SPPG Kota Bandar Lampung Enggal Enggal,"Jl. Way Ngarip no. 2 Pahoman, Kec. Enggal, Kota Bandar Lampung",07-07-2025,LAMPUNG,Wilayah I,Maghfira Vania Putri,Yayasan Bangun Bangsa Bersama,-5.42413,105.26968
SPPG Way Kanan Umpu Semenguk Negeri Baru 2,"Jl. Lintas Sumatera No 225. Negeri Baru Bedeng Sirap, Umpu Semenguk, Kab. Way Kanan, Lampung",07-08-2025,LAMPUNG,Wilayah I,Jeni Tamara ,,-4.43107,104.96809
SPPG Lampung Tengah Bandar Surabaya Subang Jaya,"Desa Subang Jaya Kecamatan Bandar Surabaya Kabupaten Lampung Tengah, Lampung",07-09-2025,LAMPUNG,Wilayah I,Budi Santoso ,,-4.6674,105.69484
SPPG Lampung Timur Batanghari Nuban Trisnomulyo,"RT 002 Dusun I Desa Trisnomulyo, Kecamatan Batanghari Nuban, Kabupaten Lampung Timur, Lampung",07-09-2025,LAMPUNG,Wilayah I,Rizki Setyadi,,-5.02387,105.40507
SPPG Lampung Timur Sekampung Udik Pugung Raharjo,Dusun II Rt.Rw 07.02 Kelurahan Pugung Raharjo Kecamatan Sekampung Udik Kabupaten Lampung Timur Provinsi Lampung,07-10-2025,LAMPUNG,Wilayah I,Poppy Tiara Henis,,-5.29715,105.56071
SPPG Lampung Selatan Bakauheni Bakauheni 2,"Jl. Lintas Sumatera, Bakauheni, Kec. Bakauheni, Kabupaten Lampung Selatan, Lampung",07-10-2025,LAMPUNG,Wilayah I,Sonia Permata Ananda,,-5.85548,105.739
SPPG Lampung Barat Gedung Surian Ciptawaras,"Jl. Warasakti Magelung Pekon Ciptawaras Rt/Rw 007/003, Cipta Waras, Kec. Gedung Surian, Kab. Lampung Barat, Lampung",07-10-2025,LAMPUNG,Wilayah I,Zeldi Mahesar Darojat S.H.,,-5.11078,104.48028
SPPG Lampung Timur Bandar Sribhawono Sribhawono,"Sribhawono, Bandar Sribhawono, Lampung Timur, Lampung",08-09-2025,LAMPUNG,Wilayah I,Ridho Irva Mahendra,,-5.29892,105.74724
SPPG Pringsewu Sukoharjo Keputran,"Jl. Kamboja Pekon Keputran Kec.Sukoharjo Kab. Pringsewu, Lampung",08-09-2025,LAMPUNG,Wilayah I,Nurkholis Majid,,-5.29317,104.97659
SPPG Kota Bandar Lampung Kemiling Sumber Rejo 3,"Jl. Raden Imba Kesuma No. 100, Kemiling, Bandar Lampung, Sumber Rejo, Kota Bandar Lampung, Lampung",08-09-2025,LAMPUNG,Wilayah I,Angga Prabowo,,-5.40448,105.21384
SPPG Lampung Tengah Terbanggi Besar Terbanggi Besar 2,"Gg. Kacang, Jl. Merapi, Kel. Karang Endah, Kec. Terbanggi Besar, Kab. Lampung Tengah, Lampung",08-09-2025,LAMPUNG,Wilayah I,Achmad Novan Shaladin,,-4.9295,105.24552
SPPG Kota Metro Metro Barat Mulyojati 2,"Desa Mulyo Jati Kecamatan Metro Barat Kota Metro Provinsi Lampung, Mulyojati",08-09-2025,LAMPUNG,Wilayah I,Felix Elfonda,,-5.13517,105.29482
SPPG Lampung Selatan Merbau Mataram Mekar Jaya,Dusun Cimanuk Rt/Rw 003/006 Kelurahan Mekar Jaya Kecamatan Merbau Mataram Kabupaten Lampung Selatan Provinsi Lampung,08-09-2025,LAMPUNG,Wilayah I,Muhammad Devin Febrian Dhaffa Setyawan,,-5.50968,105.37259
SPPG Way Kanan Negeri Besar Tegal Mukti,"Jl. Raya Tegal Mukti Kampung Tegal Mukti, Kecamatan Negeri Besar, Kabupaten Waykanan, Lampung",08-10-2025,LAMPUNG,Wilayah I,Muhammad Aziz Ibrondsyah,,-4.45221,105.02657
SPPG Lampung Utara Abung Semuli Semuli Jaya,"Jl. Belibis Pama Transkim-Au, Semuli Jaya, Kec. Abung Semuli, Kabupaten Lampung Utara, Lampung 34582",08-10-2025,LAMPUNG,Wilayah I,Dhabit Tasauffie,,-4.79785,105.02848
SPPG Lampung Barat Bandar Negeri Suoh Srimulyo,"Jl. Raya Srimulyo Blok 2 Ds Mangun Jaya Kecamatan Bandar Negeri Suoh Kabupaten Lampung Barat, Lampung",08-10-2025,LAMPUNG,Wilayah I,Nur Saputra,,-5.21622,104.29204
SPPG Lampung Tengah Punggur Tanggul Angin 2,"Jl. Sidomulyo Tanggul Angin Kec. Punggur Kab. Lampung Tengah, Lampung",08-11-2025,LAMPUNG,Wilayah I,Diah Ayu Widyaningrum,,-5.04164,105.27799
SPPG Tanggamus Gunung Alip Pariaman,"Desa Pariaman Rt. 001/001 Kec. Gunung Alip, Kab. Tanggamus Lampung",08-11-2025,LAMPUNG,Wilayah I,Muhyin Nizom,,-5.37971,104.77477
SPPG Kota Bandar Lampung Tanjungkarang Barat Segalamider 3,"Jalan Pagar Alam No. 78, Kelurahan Segalamider, Kecamatan Tanjung Karang Barat, Kota Bandar Lampung, Provinsi Lampung",09-09-2025,LAMPUNG,Wilayah I,Muhammad Rizki Mauludin Sunia,,-5.38586,105.25006
SPPG Lampung Tengah Bandar Mataram Sendang Agung Mataram,"Kampung Sendang Agung, Kecamatan Bandar Mataram, Sendang Agung Mataram, Kab. Lampung Tengah, Lampung",09-09-2025,LAMPUNG,Wilayah I,Muhamad Syukron Makmun,,-4.74731,105.42108
SPPG Lampung Timur Pasir Sakti Rejo Mulyo,"Pasir Sakti Kabupaten Lampung Timur Rejo Mulyo, Pasir Sakti, Lampung",09-09-2025,LAMPUNG,Wilayah I,Muhamad Albaeroni,,-5.50486,105.7767
SPPG Pesawaran Tegineneng Margo Mulyo,"Desa Margo Mulyo, Kec. Tegineneng, Kab. Pesawaran, Lampung",09-10-2025,LAMPUNG,Wilayah I,Nurina Sari,,-5.1547,105.14995
SPPG Lampung Barat Sumber Jaya Tugu Sari,"Marga Wiwitan 1 Rt03 Rw08, Keluruhan Tugu Sari, Kec. Sumber Jaya, Kab. Lampung Barat, Lampung",09-10-2025,LAMPUNG,Wilayah I,Wahyu Hindarto,,-5.00902,104.47463
SPPG Kota Metro Metro Timur Yosorejo,"Jl. Way Pangabuan No.4, Yosorejo, Kec. Metro Timur, Kota Metro, Lampung ",09-10-2025,LAMPUNG,Wilayah I,Regita Melina Pramesti,,-5.10736,105.31421
SPPG Tulang Bawang Dente Teladas Pasiran Jaya 2,"Kampung Pasiran Jaya Rt/Rw002/011, KecamatanDente Teladas, Kab Tulang Bawang  Lampung",10-09-2025,LAMPUNG,Wilayah I,Adhitya Dwi Laksono,,-4.62102,105.84673
SPPG Lampung Selatan Tanjung Sari Wawasan,Dusun Budi Jaya Rt/Rw 04/02 Kelurahan Wawasan Kecamatan Tanjung Sari Kabupaten Lampung Selatan Provinsi Lampung,10-09-2025,LAMPUNG,Wilayah I,Dani Setiawan,,-5.37737,105.50219
SPPG Lampung Timur Way Jepara Sri Wangi 2,"Dusun Tirtosari Rt. 007 Rw. 001 Desa Sriwangi Kecamatan Way Jepara Lampung Timur, Kabupaten Lampung Timur, Lampung",10-09-2025,LAMPUNG,Wilayah I,Ravi Rizki Prasetyo,,-5.36893,105.61547
SPPG Kota Bandar Lampung Sukabumi Sukabumi Indah,"Gang  Waru IV No.8, Sukabumi Indah, Kec. Sukabumi, Kota Bandar Lampung, Lampung 35122",10-10-2025,LAMPUNG,Wilayah I,Argha Pandu Mulia Naibaho,,-5.39544,105.28947
SPPG Kota Bandar Lampung Telukbetung Utara Gulak Galik 2,"Jl. Diponegoro No. 108, Gulak Galik, Kecamatan Telukbetung Utara, Kota Bandar Lampung, Lampung",10-10-2025,LAMPUNG,Wilayah I,Wahyu Tamlika,,-5.43179,105.26198
SPPG Kota Bandar Lampung Kedamaian Tanjunggading,"Jl. Gatot Subroto No.71, TanjungGading, Kec. Kedamaian, Kota Bandar Lampung, Lampung",10-10-2025,LAMPUNG,Wilayah I,Suharmoko,,-5.43339,105.27728
SPPG Kota Bandar Lampung Tanjungkarang Pusat Palapa,"Palapa, Kec. Tanjung Karang Pusat, Kota Bandar Lampung, Lampung",10-10-2025,LAMPUNG,Wilayah I,M. Anugrah Ghalia Yudhistomi,,-5.4184,105.2479
SPPG Tanggamus Kota Agung Pasar Madang,"Jl. Mawar III, Pasir Madang, Kec. Kota Agung,  Kab. Tanggamus, Lampung",10-10-2025,LAMPUNG,Wilayah I,Musa Fadillah,,-5.49722,104.62442
SPPG Pesawaran Gedong Tataan Way Layap,"Jl. Sukadamai Dusun Cidadi, Rt 003/ Rw 002, Waylalap, Kec. Gedong Tataan, Kab, Pesawaran, Lampung",10-10-2025,LAMPUNG,Wilayah I,Arief Rizki Ramadhan S.Ikom.,,-5.38617,105.0906
SPPG Kota Bandar Lampung Tanjungkarang Timur Kota Baru,"Jl. Perintis Kemerdekaan Komp. Ruko Elsyihab No.1, 3, 4, 5 Dan 6, Kota Baru, Kec. Tanjungkarang Timur, Kota Bandar Lampung, Lampung ",10-10-2025,LAMPUNG,Wilayah I,Ade Manset Yudanto,,-5.41915,105.27132
SPPG Kota Bandar Lampung Sukabumi Sukabumi 4,"Jl. Pulau Singkep No.37, Sukabumi, Kecamatan Sukabumi, Kota Bandar Lampung, Lampung ",10-10-2025,LAMPUNG,Wilayah I,Yogie Rizmartando,,-5.39733,105.31602
SPPG Kota Bandar Lampung Tanjung Senang Labuhan Dalam,"Jalan Sandi Hasan Nomor 99 RT/LK 04/II , Kelurahan Labuhan Dalam, Kecamatan Tanjung Senang, Kota Bandar Lampung, Provinsi Lampung",11-08-2025,LAMPUNG,Wilayah I,I Nyoman Hitakarana,,-5.36116,105.26657
SPPG Kota Bandar Lampung Sukarame Korpri Raya,Jl. Ryacudu Perum Korpri blok D7 no 7 Sukarame,11-08-2025,LAMPUNG,Wilayah I,Agung Wiragama,,-5.36082,105.30386
SPPG Tulang Bawang Barat Gunung Terang Mulyo Jadi,Desa Mulyo Jadi Ke.Gunung Terang Kab.Tulang Bawang Barat,11-08-2025,LAMPUNG,Wilayah I,Muhammad Masyahrudin Murad,,-4.3304,105.05422
SPPG Lampung Timur Labuhan Maringgai Srigading,"SRIGADING, LABUHAN MARINGGAI, KAB. LAMPUNG TIMUR, LAMPUNG ",11-08-2025,LAMPUNG,Wilayah I,Agus Priyadi,,-5.32528,105.78762
SPPG Tulang Bawang Barat Tumijajar Daya Asri,"Jalan Jendral Sudirman Nomor 001 RW Tiyuh, Daya Asri, Kecamatan Tumi Jajar, Kabupaten Tulang Bawang Barat, Provinsi Lampung",11-08-2025,LAMPUNG,Wilayah I,Rahmat Pratama,,-4.63497,105.0773
SPPG Lampung Timur Bumi Agung Donomulyo,Dusun Dono Mulyo Rt 006 Rw 002 Desa Dono Mulyo Kecamatan Bumi Agung Kabupaten Lampung Timur Provinsi Lampung,11-08-2025,LAMPUNG,Wilayah I,Ahmad Minhajul Munir,,-5.14489,105.55217
SPPG Kota Bandar Lampung Kemiling Sumber Rejo,"Jl. Teuku Cik Ditiro, Kelurahan Sumber Rejo, Kecamatan Kemiling, Kota Bandar Lampung, Provinsi Lampung",11-08-2025,LAMPUNG,Wilayah I,Imam Bagus Triyoga,,-5.39298,105.21544
SPPG Lampung Timur Way Bungur Taman Negeri,"Jl. SDN 2 Kelurahan Taman Negeri, Kec. Way Bungur, Kabupaten Lampung Timur, Lampung",11-08-2025,LAMPUNG,Wilayah I,Novi Hendrianto,,-4.92993,105.52687
SPPG Lampung Selatan Kalianda Kalianda,"Jl. Veteran, Kelurahan Kalianda, Kecamatan Kalianda, Kabupaten Lampung Selatan, Provinsi Lampung",11-08-2025,LAMPUNG,Wilayah I,Annisa Salsabilla,,-5.73774,105.60691
SPPG Lampung Selatan Candipuro Bumi Jaya,Desa Bumi jaya RT 004 RT 002,11-08-2025,LAMPUNG,Wilayah I,Made Arya Dwipayana,,-4.96958,103.99532
SPPG Lampung Timur Sekampung Giriklopomulyo,"Dusun I RT 001/RW 001, Kelurahan Giriklopomulyo, Kecamatan Sekampung, Kabupaten Lampung Timur, Provinsi Lampung",11-08-2025,LAMPUNG,Wilayah I,Risky Rachmanda,,-5.13144,105.45539
SPPG Lampung Tengah Gunung Sugih Terbanggi Agung,"Jl. Panggungan RT 005/RW 003, Kelurahan Terbanggi Agung, Kecamatan Gunung Sugih, Kabupaten Lampung Tengah, Provinsi Lampung",11-08-2025,LAMPUNG,Wilayah I,Iqbal Mufadhil,,-5.02088,105.20494
SPPG Pringsewu Ambarawa Ambarawa,"SPPG Yayasan Mitra Cendekia Waskita Ambarawa, Kelurahan Ambarawa, Kecamatan Ambarawa, Kabupaten Pringsewu, Provinsi Lampung",11-08-2025,LAMPUNG,Wilayah I,Sabilla Qonita,,-5.40848,104.96203
SPPG Lampung Timur Batanghari Bumi Harjo,"Dusun Bumi Makmur RT017/RW007, Desa Bumiharjo, Kec. Batanghari, Lampung Timur",11-08-2025,LAMPUNG,Wilayah I,Nurachmad Agung Wiratama,,-5.13727,105.34429
SPPG Pesawaran Negeri Katon Bangun Sari,"Desa Bangun Sari, Kecamatan Negeri Katon, Kabupaten Pesawaran, Provinsi Lampung",11-08-2025,LAMPUNG,Wilayah I,Priyo Prasetiyo Utomo,,-5.21063,105.07391
SPPG Lampung Timur Waway Karya Mekar Karya,"Dusun pulung rejo rt.07 tanjung wangi desa tanjung wangi Kecamatan Waway Karya, Kabupaten Lampung Timur, Provinsi Lampung",11-08-2025,LAMPUNG,Wilayah I,Yogie Rizmartando,,-5.41453,105.54991
SPPG Kota Metro Metro Timur Tejo Agung,"Jalan Cemara RT 009/RW 003, Kelurahan Tejo Agung, Kecamatan Metro Timur, Kota Metro, Provinsi Lampung",11-08-2025,LAMPUNG,Wilayah I,Laila Indah Rahmanisa,,-5.12296,105.29461
SPPG Lampung Timur Mataram Baru Tulung Pasik,"Jl. Lintas Timur RT 004 RW 002 Desa Tulung Pasik Kecamatan Mataram Baru, Kabupatem Lampung Timur, Lampung.",11-08-2025,LAMPUNG,Wilayah I,Riki Gunawan,,-5.27276,105.73929
SPPG Pringsewu Gading Rejo Gading Rejo Utara,"Jl. Pendidikan No 89 Rt 01 Rw 01 Desa Gadingrejo Utara, Kecamatan Gadingrejo, Kab Pringsewu ,  Provinsi Lampung",11-09-2025,LAMPUNG,Wilayah I,Deru Hendrawan,,-5.37501,105.06825
SPPG Lampung Selatan Natar Branti Raya,"Brantiraya, Kecamatan Natar, Kabupaten Lampung Selatan Provinsi Lampung",11-09-2025,LAMPUNG,Wilayah I,Dira Setiawati,,-5.24629,105.17839
SPPG Lampung Tengah Pubian Payung Makmur,"Payung Makmur Kec. Pubian, Kab. Lampung Tengah, Lampung",11-10-2025,LAMPUNG,Wilayah I,Alwi Hasan Yusuf,,-5.09127,104.86322
SPPG Lampung Tengah Seputih Raman Rukti Harjo,Dusun 6A Rt.002 Rw.006 Kp. Rukti Harjo Kec. Seputih Raman Kab. Lampung Tengah Provinsi Lampung,11-10-2025,LAMPUNG,Wilayah I,Pajar Ari Sinta,,-4.91692,105.36455
SPPG Tulang Bawang Penawar Aji Pasar Batang,"Jl. Lintas Gala-Gala, Pasar Batang, Rt.11/Rw04, Kecamatan Penawar Aji, Kabupaten Tulang Bawang, Provinsi Lampung",11-10-2025,LAMPUNG,Wilayah I,Betha Saputri,,-4.26246,105.24548
SPPG Lampung Tengah Seputih Banyak Setia Bhakti 2,Rt.004 Rw.002 Kampung Setia Bhakti Kec. Seputih Banyak Kab. Lampung Tengah Provinsi Lampung,11-10-2025,LAMPUNG,Wilayah I,Mita Indriana,,-4.84527,105.49513
SPPG Tanggamus Ulu Belu Ngarip,"Jl. Raya Pekon Ngarip, Desa Ngarip, Kec. Ulu Belu, Kab. Tanggamus, Lampung",12-08-2025,LAMPUNG,Wilayah I,Indah Ike Nurjana,,-5.30969,104.55748
SPPG Lampung Timur Batanghari Bumi Harjo 2,"Jl. Harjo Sudarmo/Rt 12 Rw 03, Bumi Harjo, Batanghari, Kabupaten Lampung Timur, Lampung",12-08-2025,LAMPUNG,Wilayah I,Agil Satria Wicaksono,,-5.12237,105.36398
SPPG Tulang Bawang Barat Tumijajar Margo Mulyo,"Desa Margo Mulyo Rk.06/Rt.020, Kec. Tumijajar, Kab. Tulang Bawang Barat, Provinsi Lampung",12-08-2025,LAMPUNG,Wilayah I,Enggar Septia Ningrum,,-4.6308,105.13024
SPPG Lampung Utara Kotabumi Utara Madukoro,"Jl. Yos Sudarso Jl. Raya Prokimal  Kel. Madukoro Baru, Kec. Kotabumi Utara, Kabupaten Lampung Utara, Lampung 34511",12-09-2025,LAMPUNG,Wilayah I,Choidir,,-4.77916,104.85064
SPPG Lampung Utara Kotabumi Kotabumi Ilir 2,"Jl. Perumnas Tulung Mili Indah, Kotabumi Ilir, Kec. Kotabumi, Kab. Lampung Utara, Lampung",12-10-2025,LAMPUNG,Wilayah I,Arif Rahman,,-4.82854,104.91711
SPPG Lampung Utara Bukit Kemuning,"Jl. Sumber jaya No 31, Kec Bukit Kemuning, Kab Lampung Utara",13-01-2025,LAMPUNG,Wilayah I,Niluh Dewi Pusvika,Yayasan Cahaya Langowan Nusantara,-4.95615,104.52392
SPPG Pesawaran Teluk Pandan Batu Menyan,"Jl. Way Ratai,Desa Batu Menyan, Kecamatan Teluk Pandan, Kabupaten Pesawaran, Provinsi Lampung.",13-01-2025,LAMPUNG,Wilayah I,Hendra Wijaksono ,Yayasan Salman Peduli Berkarya,-5.57993,105.21451
SPPG Lampung Tengah Bangun Rejo Bangun Rejo,"Dusun 07 Rt/Rw 001/007, Bangun Rejo, Bangun Rejo, Kabupaten Lampung Tengah, Lampung",13-09-2025,LAMPUNG,Wilayah I,Doni Rahmandani,,-5.09483,105.09215
SPPG Kota Bandar Lampung Rajabasa Rajabasa Jaya 2,"Gang Hi Jamhuri, Rajabasa Jaya, Rajabasa, Kota Bandar Lampung",13-09-2025,LAMPUNG,Wilayah I,Tri Mulyani,,-5.36908,105.23747
SPPG Pringsewu Pringsewu Podomoro,"Jl. Kesehatan, Rt. 03, Rw.03, Pekon Podomoro, Kecamatan Pringsewu, Kabupaten Pringsewu, Podomoro, Pringsewu, Kab. Pringsewu, Lampung",13-09-2025,LAMPUNG,Wilayah I,Achmad Junaidi,,-5.35472,104.96654
SPPG Lampung Barat Suoh Tugu Ratu,"Taman Sari Barat Rt002 Rw003 Tuguratu Kec. Suoh, Kab. Lampung Barat, Lampung",13-09-2025,LAMPUNG,Wilayah I,Garda Brendaru Berlin,,-5.30628,104.31107
SPPG Pesawaran Way Lima Padang Manis,"Padang Manis, Pesawaran Regency, Lampung, Padang Manis, Way Lima, Kabupaten Pesawaran, Lampung",13-09-2025,LAMPUNG,Wilayah I,Ahmad Dzaki Ghufron,,-5.41521,105.0524
SPPG Lampung Tengah Rumbia Rekso Binangun,"Dusun 3 Rt/Rw 003/003, Desa Rekso Binangun, Kecamatan Rumbia, Kabupaten Lampung Tengah Lampung",13-09-2025,LAMPUNG,Wilayah I,Jodi Setiawan,,-4.74929,105.51656
